Zip,State,City,Latitude,Longitude,Station_Name,Station_Lat,Station_Lon,Distance(km),Distance(mi)
36310,Alabama,Abbeville,31.6,-85.22,Dothan Municipal Ap,31.23,-85.43,46.2,28.7
35440,Alabama,Abernant,33.3,-87.19,Tuscaloosa Municipal Ap,33.22,-87.62,40.9,25.4
35005,Alabama,Adamsville,33.6,-87.0,Birmingham Municipal Ap,33.57,-86.75,23.4,14.5
35540,Alabama,Addison,34.23,-87.19,Huntsville Intl Jones Field,34.65,-86.78,59.5,37.0
35006,Alabama,Adger,33.43,-87.2,Birmingham Municipal Ap,33.57,-86.75,44.3,27.5
35441,Alabama,Akron,32.85,-87.74,Tuscaloosa Municipal Ap,33.22,-87.62,42.2,26.2
35007,Alabama,Alabaster,33.22,-86.8,Birmingham Municipal Ap,33.57,-86.75,39.6,24.6
35114,Alabama,Alabaster,33.22,-86.87,Birmingham Municipal Ap,33.57,-86.75,40.2,25.0
36720,Alabama,Alberta,32.16,-87.35,Montgomery Dannelly Field,32.3,-86.4,90.4,56.2
35950,Alabama,Albertville,34.25,-86.26,Gadsen Muni  Awos,33.97,-86.08,35.6,22.1
35951,Alabama,Albertville,34.34,-86.16,Gadsen Muni  Awos,33.97,-86.08,42.0,26.1
35010,Alabama,Alexander City,32.92,-85.94,Anniston Metropolitan Ap,33.58,-85.85,74.2,46.1
35011,Alabama,Alexander City,32.93,-85.93,Anniston Metropolitan Ap,33.58,-85.85,73.0,45.4
36250,Alabama,Alexandria,33.77,-85.9,Anniston Metropolitan Ap,33.58,-85.85,21.3,13.3
35442,Alabama,Aliceville,33.07,-88.19,Tuscaloosa Municipal Ap,33.22,-87.62,55.8,34.7
35013,Alabama,Allgood,33.9,-86.52,Gadsen Muni  Awos,33.97,-86.08,41.1,25.5
35014,Alabama,Alpine,33.36,-86.27,Anniston Metropolitan Ap,33.58,-85.85,45.9,28.5
35015,Alabama,Alton,33.62,-86.59,Birmingham Municipal Ap,33.57,-86.75,15.6,9.7
35952,Alabama,Altoona,34.05,-86.31,Gadsen Muni  Awos,33.97,-86.08,23.0,14.3
36420,Alabama,Andalusia,31.18,-86.58,Crestview Bob Sikes Ap,30.78,-86.52,44.5,27.6
36421,Alabama,Andalusia,31.32,-86.51,Crestview Bob Sikes Ap,30.78,-86.52,60.6,37.6
35610,Alabama,Anderson,34.95,-87.24,Muscle Shoals Regional Ap,34.75,-87.6,39.6,24.6
36201,Alabama,Anniston,33.65,-85.88,Anniston Metropolitan Ap,33.58,-85.85,8.4,5.2
36202,Alabama,Anniston,33.66,-85.83,Anniston Metropolitan Ap,33.58,-85.85,9.5,5.9
36204,Alabama,Anniston,33.66,-85.81,Anniston Metropolitan Ap,33.58,-85.85,9.8,6.1
36205,Alabama,Anniston,33.72,-85.79,Anniston Metropolitan Ap,33.58,-85.85,16.1,10.0
36206,Alabama,Anniston,33.73,-85.81,Anniston Metropolitan Ap,33.58,-85.85,17.4,10.8
36207,Alabama,Anniston,33.68,-85.71,Anniston Metropolitan Ap,33.58,-85.85,16.8,10.5
35016,Alabama,Arab,34.32,-86.5,Huntsville Intl Jones Field,34.65,-86.78,44.4,27.6
35739,Alabama,Ardmore,34.97,-86.8,Huntsville Intl Jones Field,34.65,-86.78,35.5,22.1
36311,Alabama,Ariton,31.6,-85.68,Cairns Field Fort Rucker,31.27,-85.72,37.1,23.1
35541,Alabama,Arley,34.08,-87.18,Birmingham Municipal Ap,33.57,-86.75,69.3,43.1
36722,Alabama,Arlington,32.09,-87.57,Tuscaloosa Municipal Ap,33.22,-87.62,125.6,78.0
36312,Alabama,Ashford,31.17,-85.24,Dothan Municipal Ap,31.23,-85.43,19.5,12.1
36251,Alabama,Ashland,33.23,-85.87,Anniston Metropolitan Ap,33.58,-85.85,39.0,24.2
35953,Alabama,Ashville,33.81,-86.23,Gadsen Muni  Awos,33.97,-86.08,22.1,13.7
35611,Alabama,Athens,34.77,-87.09,Huntsville Intl Jones Field,34.65,-86.78,30.8,19.2
35612,Alabama,Athens,34.79,-86.96,Huntsville Intl Jones Field,34.65,-86.78,22.3,13.9
35613,Alabama,Athens,34.82,-86.88,Huntsville Intl Jones Field,34.65,-86.78,21.3,13.2
